	copy_number
Legionella_longbeachae	4
Helicobacter_mustelae	2
Agrobacterium_fabrum	4
Planctopirus_limnophila	2
Meiothermus_silvanus	2
Thermosphaera_aggregans	1
Desulfurivibrio_alkaliphilus	2
Tsukamurella_paurometabola	2
Arcobacter_nitrofigilis	4
Moraxella_catarrhalis	4
Caulobacter_segnis	2
Methanocaldococcus_infernus	2
Arcanobacterium_haemolyticum	4
Streptomyces_bingchenggensis	6
Syntrophothermus_lipocalidus	2
Truepera_radiovictrix	2
Geobacillus_sp._C56-T3	8
Staphylothermus_hellenicus	1
Leuconostoc_kimchii	4
Thiomonas_intermedia	1
Thermobispora_bispora	4
Waddlia_chondrophila	2
Segniliparus_rotundus	1
Brachyspira_murdochii	1
Cellulomonas_flavigena	2
Paraburkholderia_atlantica	7
Kyrpidia_tusciae	5
Starkeya_novella	1
Thermincola_potens	3
Thermoanaerobacter_mathranii	4
Nocardiopsis_dassonvillei	5
Methylotenera_versatilis	3
Candidatus_Riesia_pediculicola	2
Comamonas_thiooxydans	5.75
Blattabacterium_sp._(Periplaneta_americana)	1
Nitrosococcus_watsonii	2
Hyphomicrobium_denitrificans	1
Dehalogenimonas_lykanthroporepellens	1
Herbaspirillum_seropedicae	3
Clostridium_ljungdahlii	9
Corynebacterium_pseudotuberculosis	4
Brachyspira_pilosicoli	1
Olsenella_uli	1
Gordonia_sp._KTR9	3
Desulfarculus_baarsii	1
Sediminispirochaeta_smaragdinae	2
Prevotella_melaninogenica	4
Brevundimonas_subvibrioides	2
Lacrimispora_saccharolytica	6
Thermosediminibacter_oceani	3
Acetohalobium_arabaticum	5
Acidilobus_saccharovorans	1
Butyrivibrio_proteoclasticus	6
Caldicellulosiruptor_obsidiansis	3
Micromonospora_aurantiaca	3
Gallionella_capsiferriformans	3
Clostridium_cellulovorans	9
Methanothermobacter_marburgensis	2
Thermoanaerobacterium_thermosaccharolyticum	5
Mycoplasma_hyorhinis	1
Pseudomonas_amygdali	5
Candidatus_Endomicrobium_trichonymphae	1
Candidatus_Cloacimonas_acidaminovorans	2
Shewanella_oneidensis	9
Lachnospira_eligens	5
Aggregatibacter_actinomycetemcomitans	6
Paenibacillus_polymyxa	13.11
Dickeya_dadantii	7
Spirochaeta_thermophila	2
Gloeothece_verrucosa	3
Sulfurimonas_autotrophica	4
Thermoanaerobacter_wiegelii	4
Mesotoga_prima	2
Streptomyces_violaceusniger	6
Sphingobium_chlorophenolicum	3
Methanolacinia_petrolearia	2
Vulcanisaeta_distributa	1
Thermoanaerobacter_sp._X513	4
Mycoplasma_fermentans	2
Ferrimonas_balearica	7
Burkholderia_sp._CCGE1003	6
Pantoea_vagans	7
Thermococcus_barophilus	1
Thermococcus_sp._AM4	1
Eubacterium_callanderi	5
Ferroplasma_acidarmanus	1
Parvularcula_bermudensis	1
Dokdonia_sp._MED134	3
Polaribacter_sp._MED152	2
Maribacter_sp._HTCC2170	2
Psychromonas_sp._CNPT3	10
Psychroflexus_torquis	3
Phaeobacter_inhibens	4
Roseobacter_litoralis	1
Octadecabacter_antarcticus	2
Octadecabacter_arcticus	2
